time,icao24,lat,lon,velocity,altitude
1645415690,a98909,39.63212585,-76.12850687,172.3356687,5547.36
1645415700,a98909,39.62223894,-76.14440918,171.6123807,5463.54
1645415710,a98909,39.61289978,-76.15943577,170.488325,5372.1
1645415720,a98909,39.60291976,-76.17541504,169.7649611,5273.04
1645415730,a98909,39.59337655,-76.1907959,169.041633,5173.98
1645415740,a98909,39.58383179,-76.20600825,168.6411462,5082.54
1645415750,a98909,39.57424358,-76.22143555,167.9177053,4991.1
1645415760,a98909,39.56478882,-76.2365789,167.1943,4892.04
1645415770,a98909,39.55529682,-76.25183105,166.4709307,4800.6
1645415780,a98909,39.54617258,-76.26641846,165.7475978,4709.16
1645415790,a98909,39.53672791,-76.28159896,166.070619,4610.1
1645415800,a98909,39.5272522,-76.29670516,166.070619,4495.8
1645415810,a98909,39.5181427,-76.3113337,166.070619,4396.74
1645415820,a98909,39.50857544,-76.32655932,165.2718907,4297.68
1645415830,a98909,39.49938758,-76.34118652,165.3471355,4191
1645415840,a98909,39.48999023,-76.35623434,165.0243018,4084.32
1645415850,a98909,39.48067358,-76.37115479,165.0243018,3977.64
1645415860,a98909,39.47131348,-76.38602879,164.8734833,3863.34
1645415870,a98909,39.46192932,-76.40083645,165.2718907,3741.42
1645415880,a98909,39.45218361,-76.4152832,164.8188979,3642.36
1645415890,a98909,39.44110418,-76.42785645,165.7899055,3558.54
1645415900,a98909,39.42832947,-76.43940801,166.5225906,3406.14
1645415910,a98909,39.41647804,-76.44976807,164.514333,3314.7
1645415920,a98909,39.40409515,-76.46051025,161.2312144,3261.36
1645415930,a98909,39.39236398,-76.47070313,156.8075608,3223.26
1645415940,a98909,39.38081903,-76.48065186,153.0978775,3185.16
1645415950,a98909,39.36918097,-76.49072266,149.1018114,3147.06
1645415960,a98909,39.35842896,-76.50001194,144.9646233,3116.58
1645415970,a98909,39.34762728,-76.50933838,142.2565568,3070.86
1645415980,a98909,39.33728027,-76.5184021,141.5422341,3009.9
1645415990,a98909,39.32663222,-76.52764893,141.5422341,2987.04
1645416010,a98909,39.30560303,-76.54604704,142.5455538,2971.8
1645416020,a98909,39.29466248,-76.55554067,142.2565568,2971.8
1645416030,a98909,39.28440935,-76.56445313,141.2549315,2971.8
1645416040,a98909,39.27406311,-76.57333374,140.9689208,2971.8
1645416050,a98909,39.26341429,-76.58251953,141.2549315,2971.8
1645416060,a98909,39.25245667,-76.59196273,140.9689208,2971.8
1645416070,a98909,39.24220276,-76.60073985,140.5411672,2971.8
1645416080,a98909,39.23129324,-76.61016846,140.8280467,2971.8
1645416090,a98909,39.22086554,-76.61914063,141.2549315,2971.8
1645416100,a98909,39.21029818,-76.62823486,141.6823981,2971.8
1645416110,a98909,39.19977738,-76.63726807,141.6823981,2971.8
1645416120,a98909,39.18939623,-76.6461792,141.6823981,2971.8
1645416130,a98909,39.17901508,-76.65612793,140.2584182,2971.8
1645416140,a98909,39.17106628,-76.66856849,136.7153683,2971.8
1645416150,a98909,39.166027,-76.68249512,134.9864198,2971.8
1645416160,a98909,39.16151144,-76.69677734,134.7931636,2971.8
1645416170,a98909,39.15690277,-76.71124268,134.705764,2971.8
1645416180,a98909,39.15229797,-76.72558992,134.5101371,2971.8
1645416190,a98909,39.14768542,-76.74023438,133.8395054,2971.8
1645416200,a98909,39.14335606,-76.75415039,132.9775548,2964.18
1645416210,a98909,39.13883972,-76.76869931,132.3091562,2926.08
1645416220,a98909,39.13439941,-76.78302931,132.3091562,2842.26
1645416230,a98909,39.13008868,-76.79711914,132.3091562,2758.44
1645416240,a98909,39.12571277,-76.81121826,132.7873541,2659.38
1645416250,a98909,39.12112427,-76.82578045,134.0341366,2567.94
1645416260,a98909,39.11654663,-76.84022986,133.1694711,2484.12
1645416270,a98909,39.11219788,-76.85426132,131.1630442,2423.16
1645416280,a98909,39.10780334,-76.86841218,130.0170067,2354.58
1645416290,a98909,39.10350037,-76.88238393,129.3496781,2278.38
1645416300,a98909,39.09922454,-76.89624023,129.3496781,2194.56
1645416310,a98909,39.09498596,-76.90984975,129.0608662,2118.36
1645416320,a98909,39.09061238,-76.9239502,128.583217,2042.16
1645416330,a98909,39.08638,-76.93743498,128.3926905,1973.58
